"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1438","2018/19","W15000002","Gwent","Wales","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 10 "
"1439","2018/19","W15000002","Gwent","Wales","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1440","2018/19","W15000002","Gwent","Wales","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1441","2018/19","E23000030","Hampshire","South East","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1442","2018/19","E23000030","Hampshire","South East","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1443","2018/19","E23000030","Hampshire","South East","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1444","2018/19","E23000030","Hampshire","South East","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1445","2018/19","E23000030","Hampshire","South East","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1446","2018/19","E23000030","Hampshire","South East","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"1447","2018/19","E23000030","Hampshire","South East","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"1448","2018/19","E23000030","Hampshire","South East","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 46 "
"1449","2018/19","E23000030","Hampshire","South East","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1450","2018/19","E23000030","Hampshire","South East","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1451","2018/19","E23000027","Hertfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1452","2018/19","E23000027","Hertfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1453","2018/19","E23000027","Hertfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"1454","2018/19","E23000027","Hertfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
